osm_type,osm_id,name,brand,address,city,state,country,latitude,longitude
node,7337305677,D1,D1,,,,CO,6.2657708,-75.5933184
node,7337374705,D1,D1,,,,CO,6.2374837,-75.5965271
node,7352018616,D1,D1,,,,CO,6.2026488,-75.6012408
node,7353455547,D1,,,,,CO,6.2637556,-75.571336
node,7428354585,D1,D1,,,,CO,4.7017049,-74.11731
node,7435510854,D1,D1,,,,CO,4.7097815,-74.2153305
node,7490756593,D1,,,,,CO,2.123153,-76.9791007
node,7692609920,D1,D1,,,,CO,11.0217109,-74.8624835
node,7706077629,D1,D1,,,,CO,6.2249124,-75.5967628
node,8132345536,D1,,,,,CO,2.4852465,-76.5819442
node,8255890959,D1,D1,,,,CO,12.5783098,-81.7008429
node,8270601141,D1,D1,,,,CO,4.6803482,-74.1357653
node,8353845829,D1,D1,,,,CO,4.7031216,-74.0921416
node,8384768517,D1,D1,,,,CO,4.5795163,-74.0800672
node,8402778021,D1,D1,,,,CO,10.3914,-73.0291472
node,8425380811,D1,D1,,,,CO,2.4384414,-76.6050223
node,8454866117,D1,D1,,,,CO,4.708537,-74.1368942
node,8459243617,D1,D1,,,,CO,4.6502746,-74.0556787
node,8522507691,D1,D1,,,,CO,4.7443027,-74.1286284
node,8532707771,D1,D1,,,,CO,6.230831,-75.5926793
node,8592763146,D1,,,,,CO,2.4463162,-76.6116296
node,8622709967,D1,D1,,,,CO,7.0901383,-73.1095258
node,8699723064,D1,D1,,,,CO,4.7437952,-74.1408587
node,8712519667,D1,D1,hatogrande,cajica,,CO,4.9189168,-74.0142058
node,8713475390,D1,D1,Carrera 4,Guachetá,,CO,5.3847029,-73.6866566
node,8723079229,D1,D1,,,,CO,3.8778242,-77.0211105
node,8729507776,Tiendas D1,D1,,,,CO,1.3841733,-77.1562908
node,8739860714,D1,D1,,,,CO,7.9188212,-72.4867207
node,8780106618,D1,D1,,,,CO,4.7059699,-74.093427
node,8910225528,D1,D1,Avenida 19 de Enero,Armenia,,CO,4.5678333,-75.6510939
node,8929348005,D1,D1,,,,CO,4.7209327,-74.0450283
node,9007484374,D1,D1,,,,CO,4.5451261,-75.6628288
node,9092381518,D1,,,,,CO,6.2333219,-75.1602975
node,9198830345,D1,D1,,,,CO,6.2581639,-75.5980764
node,9198830346,D1,D1,,,,CO,6.2576875,-75.5978207
node,9216335387,D1,D1,Carrera 4 3-75,Fómeque,,CO,4.4851524,-73.8937858
node,9234224824,D1,D1,,,,CO,5.3280264,-72.4076366
node,9234319300,D1,,,,,CO,3.4028516,-76.5407811
node,9254137052,D1,D1,,,,CO,8.2672989,-73.3645755
node,9293819714,D1,D1,,,,CO,4.7168338,-74.0297009
node,9309094346,D1,D1,,,,CO,7.8891187,-75.669781
node,9318978189,D1,,,,,CO,4.6379407,-75.5706228
node,9402649642,D1,,,,,CO,3.4342272,-76.4952548
node,9402653409,D1,,,,,CO,3.4582847,-76.4828651
node,9402662000,D1,,,,,CO,3.2312868,-76.5095153
node,9404551480,D1,,,,,CO,3.432094,-76.5088241
node,9404615429,D1,,,,,CO,3.4317876,-76.5022302
node,9404661169,D1,,,,,CO,3.4793806,-76.5189093
node,9404664800,D1,,,,,CO,3.4815558,-76.4996374
node,9413746217,D1,D1,Calle 33,,,CO,7.1209344,-73.1251448
node,9425601328,D1,,,,,CO,4.8627621,-74.0462782
node,9426899029,D1,D1,,,,CO,4.5074194,-75.6905002
node,9438276716,D1,,,,,CO,3.481473,-76.4994959
node,9450315617,D1,D1,Carrera 12 (Avenida Santander),,,CO,6.5550718,-73.1392532
node,9459030517,D1,,Avenida del Libertador 24-??,,,CO,11.2408744,-74.1877364
node,9466543417,D1,,,,,CO,11.006461,-74.2509288
node,9469483517,D1,,Vía 40,,,CO,11.0253466,-74.8032293
node,9470359420,D1,,,,,CO,10.9882233,-74.9581064
node,9476607119,D1,D1,Avenida Daniel Lemaitre,,,CO,10.4232277,-75.5478511
node,9487067017,D1,D1,Calle 31D,,,CO,10.4065311,-75.4900903
