osm_id,osm_type,name,brand,operator,addr_full,addr_street,addr_housenumber,addr_city,addr_state,addr_postcode,opening_hours,phone,website,lat,lon,source,street_address,city,page_url
5316724408,node,Tiendas D1 El Ingenio,D1,,,,,,,,08:00-21:00,+57 322 6041648,https://d1.com.co,3.3830247,-76.5254707,osm,,,
5316726750,node,D1,,,,,,,,,,,,3.4315841,-76.4977687,osm,,,
5322718974,node,D1,D1,,,,,,,,Mo-Su 09:00-21:00,,https://d1.com.co/,4.7406379,-74.1136304,osm,,,
5349612723,node,D1,D1,,,,,,,,,,,2.4537157,-76.5998311,osm,,,
5364519805,node,D1,D1,,,,,,,,,,,6.2165131,-75.2387369,osm,,,
5372965320,node,D1,,,,,,,,,,,,4.8289654,-75.6823078,osm,,,
5421594127,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7412889,-74.063973,osm,,,
5438366873,node,D1,D1,Tiendas D1,,,,,,,,,https://d1.com.co/,4.6111439,-74.2058767,osm,,,
5451269821,node,D1,,,,,,,,,,,,3.433526,-76.538874,osm,,,
5460739222,node,D1,,,,,,,,,Mo-Su 08:00-21:00,,,6.5011803,-75.7424307,osm,,,
5481518021,node,Tienda D1,D1,,,Carrera 11,,,,,Mo-Su 07:00-21:00,,,6.5526621,-73.132314,osm,,,
5483005024,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6874523,-74.0477903,osm,,,
5495009768,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.7239356,-74.1147126,osm,,,
5532400204,node,Tiendas D1,,,,,,,,,,,,4.2096299,-76.1572811,osm,,,
5540623479,node,D1,D1,Tiendas D1,,,,,,,,,https://d1.com.co/,4.622159,-74.0770777,osm,,,
5548721140,node,D1,,,,,,,,,,,,6.1793008,-75.4429223,osm,,,
5548721288,node,D1,,,,,,,,,,,,6.1712576,-75.4902527,osm,,,
5790740877,node,D1,D1,,,,,,,,,,https://d1.com.co/,4.6546155,-74.1309764,osm,,,
5837992255,node,D1,,,,Carrera 10,,Girardot,,,,,,4.3038204,-74.8032156,osm,,,
5838963427,node,D1,,,,,,,,,,,,5.7689806,-72.9403224,osm,,,
5846107546,node,D1,,,,,,,,,,,,6.133089,-75.4025348,osm,,,
5897227290,node,Tienda D1,,,,Carrera 7 u,,,,,Mo-Su 08:00-21:20,,,3.4526096,-76.4727314,osm,,,
5902125964,node,D1,,De1 de todos,,,,,,,"Mo-Su,PH 08:00-19:30",,,5.5503472,-73.3596146,osm,,,
5906469740,node,D1,D1,,,,,,,,,,,4.6327663,-74.1486877,osm,,,
5906804085,node,D1,D1,,,,,,,,,,,4.5750942,-75.6447998,osm,,,
5924065386,node,D1,D1,,,,,,,,,,,6.2412685,-75.5861093,osm,,,
5966993988,node,,,Tiendas D1,,,,,,,,,,3.4090124,-76.5488063,osm,,,
5984184785,node,Tienda D1,,,,,,,,,,,,4.8669662,-75.6203984,osm,,,
6026292538,node,D1,D1,Tiendas D1,,Carrera 19,,Bogotá,,,Mo-Su 08:00-20:00,,https://d1.com.co/,4.6241995,-74.0737462,osm,,,
6074050573,node,D1,,,,,,,,,,,,2.4885292,-76.5788849,osm,,,
6101007061,node,Tiendas D1,,,,,,,,,,,,4.9290199,-74.1722787,osm,,,
6174428988,node,D1,,,,Diagonal 75B,,,,,Mo-Su 07:00-21:00,,http://www.tiendasd1.com,6.2092542,-75.5936275,osm,,,
6204653532,node,D1,D1,,,,,,,,,,,2.4490556,-76.6114879,osm,,,
