Fetching index: https://www.sucursales24.com.co/tiendas-d1/todos/
Found 210 city pages
[109/210] https://www.sucursales24.com.co/melgar/tiendas-d1/ -> 0 stores
[110/210] https://www.sucursales24.com.co/montelibano/tiendas-d1/ -> 0 stores
[111/210] https://www.sucursales24.com.co/monteria/tiendas-d1/ -> 10 stores
[112/210] https://www.sucursales24.com.co/mosquera/tiendas-d1/ -> 3 stores
[113/210] https://www.sucursales24.com.co/mutata/tiendas-d1/ -> 0 stores
[114/210] https://www.sucursales24.com.co/necocli/tiendas-d1/ -> 2 stores
[115/210] https://www.sucursales24.com.co/neiva/tiendas-d1/ -> 6 stores
[116/210] https://www.sucursales24.com.co/ocana/tiendas-d1/ -> 4 stores
[117/210] https://www.sucursales24.com.co/oiba/tiendas-d1/ -> 0 stores
[118/210] https://www.sucursales24.com.co/pailitas/tiendas-d1/ -> 0 stores
[119/210] https://www.sucursales24.com.co/paipa/tiendas-d1/ -> 0 stores
[120/210] https://www.sucursales24.com.co/palmar-de-varela/tiendas-d1/ -> 0 stores
[121/210] https://www.sucursales24.com.co/palmira/tiendas-d1/ -> 10 stores
[122/210] https://www.sucursales24.com.co/pasto/tiendas-d1/ -> 9 stores
[123/210] https://www.sucursales24.com.co/penol/tiendas-d1/ -> 0 stores
[124/210] https://www.sucursales24.com.co/pereira/tiendas-d1/ -> 15 stores
[125/210] https://www.sucursales24.com.co/piedecuesta/tiendas-d1/ -> 6 stores
[126/210] https://www.sucursales24.com.co/piendamo/tiendas-d1/ -> 0 stores
[127/210] https://www.sucursales24.com.co/pitalito/tiendas-d1/ -> 0 stores
[128/210] https://www.sucursales24.com.co/popayan/tiendas-d1/ -> 9 stores
[129/210] https://www.sucursales24.com.co/pradera/tiendas-d1/ -> 0 stores
[130/210] https://www.sucursales24.com.co/pueblo-rico/tiendas-d1/ -> 0 stores
[131/210] https://www.sucursales24.com.co/puente-aranda/tiendas-d1/ -> 10 stores
[132/210] https://www.sucursales24.com.co/puerto-berrio/tiendas-d1/ -> 0 stores
[133/210] https://www.sucursales24.com.co/puerto-boyaca/tiendas-d1/ -> 0 stores
[134/210] https://www.sucursales24.com.co/puerto-colombia/tiendas-d1/ -> 2 stores
[135/210] https://www.sucursales24.com.co/puerto-santander/tiendas-d1/ -> 0 stores
[136/210] https://www.sucursales24.com.co/puerto-tejada/tiendas-d1/ -> 0 stores
[137/210] https://www.sucursales24.com.co/puerto-wilches/tiendas-d1/ -> 0 stores
[138/210] https://www.sucursales24.com.co/quibdo/tiendas-d1/ -> 3 stores
[139/210] https://www.sucursales24.com.co/quimbaya/tiendas-d1/ -> 0 stores
[140/210] https://www.sucursales24.com.co/ramiriqui/tiendas-d1/ -> 0 stores
[141/210] https://www.sucursales24.com.co/raquira/tiendas-d1/ -> 0 stores
[142/210] https://www.sucursales24.com.co/restrepo-valle-del-cauca/tiendas-d1/ -> 0 stores
[143/210] https://www.sucursales24.com.co/restrepo/tiendas-d1/ -> 0 stores
[144/210] https://www.sucursales24.com.co/retiro/tiendas-d1/ -> 2 stores
[145/210] https://www.sucursales24.com.co/ricaurte-cundinamarca/tiendas-d1/ -> 0 stores
[146/210] https://www.sucursales24.com.co/riohacha/tiendas-d1/ -> 3 stores
[147/210] https://www.sucursales24.com.co/rionegro/tiendas-d1/ -> 11 stores
[148/210] https://www.sucursales24.com.co/riosucio-caldas/tiendas-d1/ -> 0 stores
[149/210] https://www.sucursales24.com.co/robles/tiendas-d1/ -> 0 stores
[150/210] https://www.sucursales24.com.co/roldanillo/tiendas-d1/ -> 0 stores
[151/210] https://www.sucursales24.com.co/sabana-de-torres/tiendas-d1/ -> 0 stores
[152/210] https://www.sucursales24.com.co/sabanalarga/tiendas-d1/ -> 0 stores
[153/210] https://www.sucursales24.com.co/sabaneta/tiendas-d1/ -> 8 stores
[154/210] https://www.sucursales24.com.co/samaca/tiendas-d1/ -> 0 stores
[155/210] https://www.sucursales24.com.co/san-alberto/tiendas-d1/ -> 0 stores
[156/210] https://www.sucursales24.com.co/san-andres/tiendas-d1/ -> 0 stores
[157/210] https://www.sucursales24.com.co/san-carlos-antioquia/tiendas-d1/ -> 0 stores
[158/210] https://www.sucursales24.com.co/san-francisco-cundinamarca/tiendas-d1/ -> 0 stores
[159/210] https://www.sucursales24.com.co/san-gil/tiendas-d1/ -> 3 stores
[160/210] https://www.sucursales24.com.co/san-jeronimo/tiendas-d1/ -> 0 stores
[161/210] https://www.sucursales24.com.co/san-jose-de-la-montana/tiendas-d1/ -> 0 stores
[162/210] https://www.sucursales24.com.co/san-juan-de-rio-seco/tiendas-d1/ -> 0 stores
[163/210] https://www.sucursales24.com.co/san-juan-del-cesar/tiendas-d1/ -> 0 stores
[164/210] https://www.sucursales24.com.co/san-marcos/tiendas-d1/ -> 0 stores
[165/210] https://www.sucursales24.com.co/san-pedro-de-los-milagros/tiendas-d1/ -> 2 stores
[166/210] https://www.sucursales24.com.co/santa-fe-de-antioquia/tiendas-d1/ -> 3 stores
[167/210] https://www.sucursales24.com.co/santa-lucia/tiendas-d1/ -> 0 stores
[168/210] https://www.sucursales24.com.co/santa-marta/tiendas-d1/ -> 10 stores
[169/210] https://www.sucursales24.com.co/santa-rosa-de-osos/tiendas-d1/ -> 0 stores
[170/210] https://www.sucursales24.com.co/santa-rosa-del-sur/tiendas-d1/ -> 0 stores
[171/210] https://www.sucursales24.com.co/santa-rosa/tiendas-d1/ -> 2 stores
[172/210] https://www.sucursales24.com.co/santander-de-quilichao/tiendas-d1/ -> 2 stores
[173/210] https://www.sucursales24.com.co/santo-tomas/tiendas-d1/ -> 2 stores
[174/210] https://www.sucursales24.com.co/sasaima/tiendas-d1/ -> 0 stores
[175/210] https://www.sucursales24.com.co/sibate/tiendas-d1/ -> 0 stores
[176/210] https://www.sucursales24.com.co/sibundoy/tiendas-d1/ -> 0 stores
[177/210] https://www.sucursales24.com.co/sincelejo/tiendas-d1/ -> 9 stores
[178/210] https://www.sucursales24.com.co/soacha/tiendas-d1/ -> 9 stores
[179/210] https://www.sucursales24.com.co/socorro/tiendas-d1/ -> 0 stores
[180/210] https://www.sucursales24.com.co/sogamoso/tiendas-d1/ -> 2 stores
[181/210] https://www.sucursales24.com.co/soledad/tiendas-d1/ -> 5 stores
[182/210] https://www.sucursales24.com.co/sopetran/tiendas-d1/ -> 0 stores
[183/210] https://www.sucursales24.com.co/sopo/tiendas-d1/ -> 0 stores
[184/210] https://www.sucursales24.com.co/suesca/tiendas-d1/ -> 0 stores
[185/210] https://www.sucursales24.com.co/supia/tiendas-d1/ -> 0 stores
